Taxa	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Acidiplasma|s__Acidiplasma sp.	3	0	0	0	0	0	1	0	0	2	0	3	0	0	2	0	3	0	1	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	0	1	0	1	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma	3	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	36	3	0	0	1	0	0	1	1	0	0	3	0	0	1	1	2	0	1	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma acidarmanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma acidiphilum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	2	0	1	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Ferroplasmaceae|g__Ferroplasma|s__Ferroplasma sp.	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae	0	7	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus	0	7	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Picrophilaceae|g__Picrophilus|s__Picrophilus oshimae	0	7	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae	0	0	0	1	1	0	0	0	0	5	1	0	0	0	4	0	0	0	0	0	1	5	1	3	0	0	1	0	1	6	0	0	0	0	0	0	0	1	5	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma	0	0	0	1	1	0	0	0	0	5	1	0	0	0	4	0	0	0	0	0	1	5	1	3	0	0	1	0	1	6	0	0	0	0	0	0	0	1	5	3
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma acidophilum	0	0	0	1	0	0	0	0	0	5	1	0	0	0	3	0	0	0	0	0	1	4	1	3	0	0	1	0	1	6	0	0	0	0	0	0	0	1	5	2
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae|g__Thermoplasma|s__Thermoplasma volcanium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
d__Archaea|p__Candidatus Thermoplasmatota|g__Aciduliprofundum	2	1	1	2	0	0	0	0	1	3	0	1	0	0	0	0	0	2	0	0	1	0	0	6	1	0	0	2	6	0	3	1	1	0	0	1	0	0	2	0
d__Archaea|p__Candidatus Thermoplasmatota|g__Aciduliprofundum|s__Aciduliprofundum sp. MAR08-339	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	3	0	0	0	0	1	0	0	1	0
d__Archaea|p__Candidatus Thermoplasmatota|g__Aciduliprofundum|s__Candidatus Aciduliprofundum boonei	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	1	1	0	0	0	0	0	1	0
d__Archaea|p__Euryarchaeota	874	494	266	580	189	232	700	120	125	807	272	1307	360	413	843	656	745	146	261	629	436	595	441	526	581	588	266	2180	914	379	429	455	1010	610	1745	6600	725	474	425	498
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	8	2	1	3	9	1	14	0	3	4	4	5	5	3	5	1	9	1	10	7	1	5	1	5	3	2	0	2	7	1	4	18	7	21	6	8	5	7	5	2
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	8	2	1	3	9	1	14	0	3	4	4	5	5	3	5	1	9	1	10	7	1	5	1	5	3	2	0	2	7	1	4	18	7	21	6	8	5	7	5	2
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	8	2	1	3	9	1	14	0	3	4	4	5	5	3	5	1	9	1	10	7	1	5	1	5	3	2	0	2	7	1	4	18	7	21	6	8	5	7	5	2
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	6	1	0	2	9	0	10	0	1	3	1	3	5	3	5	0	5	0	9	7	1	2	0	5	1	2	0	1	7	0	2	3	7	18	5	7	4	5	4	2
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus fulgidus	2	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	1	0	1	5	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	6	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus profundus	3	0	0	0	8	0	4	0	1	0	0	2	0	0	5	0	3	0	8	1	1	2	0	4	1	1	0	0	5	0	1	3	4	13	5	0	0	5	2	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus sulfaticallidus	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	3	0	1	2	0	0	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus veneficus	0	1	0	0	1	0	3	0	0	1	0	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus	1	0	1	0	0	1	1	0	2	0	2	2	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus placidus	1	0	1	0	0	1	1	0	2	0	2	2	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus	1	1	0	1	0	0	3	0	0	1	1	0	0	0	0	1	3	0	0	0	0	2	0	0	2	0	0	0	0	0	1	15	0	2	1	1	0	2	1	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus ahangari	1	1	0	1	0	0	3	0	0	1	1	0	0	0	0	1	3	0	0	0	0	2	0	0	2	0	0	0	0	0	1	15	0	2	1	1	0	2	1	0
d__Archaea|p__Euryarchaeota|c__Candidatus Methanoliparia	11	5	0	10	10	6	15	0	0	4	2	0	0	0	2	3	9	1	1	0	0	4	4	0	1	0	0	4	1	0	0	0	4	8	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Candidatus Methanoliparia|o__Candidatus Methanoliparales	11	5	0	10	10	6	15	0	0	4	2	0	0	0	2	3	9	1	1	0	0	4	4	0	1	0	0	4	1	0	0	0	4	8	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Candidatus Methanoliparia|o__Candidatus Methanoliparales|f__Candidatus Methanoliparaceae	11	5	0	10	10	6	15	0	0	4	2	0	0	0	2	3	9	1	1	0	0	4	4	0	1	0	0	4	1	0	0	0	4	8	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Candidatus Methanoliparia|o__Candidatus Methanoliparales|f__Candidatus Methanoliparaceae|g__Candidatus Methanoliparum	11	5	0	10	10	6	15	0	0	4	2	0	0	0	2	3	9	1	1	0	0	4	4	0	1	0	0	4	1	0	0	0	4	8	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Candidatus Methanoliparia|o__Candidatus Methanoliparales|f__Candidatus Methanoliparaceae|g__Candidatus Methanoliparum|s__Candidatus Methanoliparum sp. LAM-1	11	5	0	10	10	6	15	0	0	4	2	0	0	0	2	3	9	1	1	0	0	4	4	0	1	0	0	4	1	0	0	0	4	8	0	0	0	0	0	1
d__Archaea|p__Euryarchaeota|c__Halobacteria	424	146	70	180	44	42	303	40	14	314	46	922	171	166	440	221	278	41	39	375	185	238	81	219	272	323	108	432	472	59	250	224	137	187	241	171	156	266	121	119
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	146	59	38	85	20	8	151	16	12	149	25	451	96	82	241	102	103	21	21	199	67	109	27	94	120	111	51	173	228	30	95	110	57	65	150	66	75	121	69	56
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae	18	7	15	29	5	0	22	6	9	30	8	60	25	16	23	27	20	6	4	38	15	14	9	16	17	20	17	54	39	7	21	17	13	10	84	13	18	20	4	6
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus	3	1	12	17	2	0	3	1	2	6	4	10	14	8	12	9	4	3	3	2	6	3	5	4	9	12	1	7	6	3	4	2	12	2	1	6	14	5	2	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus halobius	1	0	0	0	0	0	1	0	0	2	0	6	0	0	6	1	1	0	0	0	0	0	4	0	1	3	0	0	0	1	0	1	3	0	0	4	0	1	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus pallidirubidus	0	0	0	15	0	0	2	0	0	1	0	2	0	6	4	0	1	0	1	1	4	0	0	0	1	3	0	2	0	0	1	1	6	1	0	0	1	1	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus salinisoli	0	0	2	1	1	0	0	1	0	1	0	0	0	1	2	8	1	1	1	1	0	0	0	1	5	3	0	1	0	1	2	0	1	0	1	1	3	3	2	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus sp. DYSN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus sp. YSMS36	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Haladaptatus|s__Haladaptatus sp. ZJ1	0	1	5	0	1	0	0	0	2	0	4	1	10	1	0	0	1	0	1	0	1	1	1	2	1	0	0	2	3	1	0	0	2	1	0	0	8	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus	15	6	3	12	3	0	19	5	7	24	4	50	11	8	11	18	16	3	1	36	9	11	4	12	8	8	16	47	32	4	17	15	1	8	83	7	4	15	2	5
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus aquaticus	4	0	1	3	0	0	0	0	1	3	0	1	2	0	1	2	0	0	0	1	0	0	2	2	1	0	0	0	2	0	0	0	0	1	1	0	1	3	0	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus gelatinilyticus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus halophilus	8	4	1	2	0	0	6	2	2	5	4	4	0	4	3	2	5	0	0	19	8	2	1	0	3	2	0	40	8	0	0	1	0	2	0	0	0	3	1	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus limi	0	0	0	0	0	0	5	0	0	3	0	18	5	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus pelagicus	1	1	0	3	0	0	0	0	0	1	0	5	0	0	2	0	2	2	0	1	0	0	0	1	2	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus salilacus	0	0	0	2	1	0	1	0	0	4	0	0	0	0	0	0	2	0	1	0	0	2	0	6	0	3	0	2	14	0	0	0	0	1	0	0	1	0	0	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus sp. DT72	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	1	0	0	0	1	0	0	0	1	16	1	0	0	9	8	0	0	79	5	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus sp. DT80	0	0	0	0	0	0	3	3	4	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	2	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haladaptataceae|g__Halorussus|s__Halorussus vallis	1	0	1	2	0	0	2	0	0	2	0	2	1	3	0	10	0	0	0	12	0	2	1	1	1	0	0	0	3	0	1	1	0	3	1	1	0	5	1	2
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	79	38	18	40	9	5	91	8	3	78	14	290	41	43	127	51	66	9	12	99	39	69	12	57	67	62	23	105	140	17	54	51	33	42	48	35	43	80	43	37
