"","V1","V2","V3","V4","V5","V6","V7","V8","num_hash","freq_hash"
"58",86661,"|","Bacillus cereus group","|","","|","scientific name","|",10003885,0.000628464635234881
"59",122277,"|","Pectobacterium","|","","|","scientific name","|",9944813,0.000624753610674664
"60",87882,"|","Burkholderia cepacia complex","|","","|","scientific name","|",9918173,0.000623080031072073
"61",1822464,"|","Paraburkholderia","|","","|","scientific name","|",9833327,0.000617749830810761
"62",316,"|","Stutzerimonas stutzeri","|","","|","scientific name","|",9683153,0.000608315591199674
"63",1076,"|","Rhodopseudomonas palustris","|","","|","scientific name","|",9673678,0.000607720352208137
"64",615,"|","Serratia marcescens","|","","|","scientific name","|",9568327,0.000601101985664876
"65",136849,"|","Pseudomonas syringae group","|","","|","scientific name","|",9519931,0.000598061649386837
"66",91347,"|","Enterobacterales","|","","|","scientific name","|",9486991,0.000595992290824175
"67",55080,"|","Brevibacillus","|","","|","scientific name","|",9448654,0.000593583881619051
"68",2626047,"|","unclassified Synechococcus","|","","|","scientific name","|",9125252,0.000573267102691242
"69",549,"|","Pantoea agglomerans","|","","|","scientific name","|",9120826,0.000572989052266277
"70",1279,"|","Staphylococcus","|","","|","scientific name","|",9113705,0.000572541696397281
"71",222,"|","Achromobacter","|","","|","scientific name","|",9063674,0.000569398646055795
"72",28256,"|","Halomonadaceae","|","","|","scientific name","|",8688309,0.000545817444572077
"73",1393,"|","Brevibacillus brevis","|","","|","scientific name","|",8578790,0.000538937235694597
"74",2742,"|","Marinobacter","|","","|","scientific name","|",8561128,0.000537827672521139
"75",292,"|","Burkholderia cepacia","|","","|","scientific name","|",8512752,0.000534788592684243
"76",59732,"|","Chryseobacterium","|","","|","scientific name","|",8512017,0.000534742418472234
"77",43,"|","Cystobacter fuscus","|","","|","scientific name","|",8488150,0.000533243044434133
"78",582,"|","Morganella morganii","|","","|","scientific name","|",8385657,0.000526804223330219
"79",106589,"|","Cupriavidus","|","","|","scientific name","|",8373247,0.000526024601600934
"80",959,"|","Bdellovibrio bacteriovorus","|","","|","scientific name","|",8246667,0.000518072585606345
"81",53335,"|","Pantoea","|","","|","scientific name","|",8237570,0.000517501093352413
"82",2618356,"|","unclassified Amycolatopsis","|","","|","scientific name","|",8216428,0.000516172909420057
"83",1762,"|","Mycobacteriaceae","|","","|","scientific name","|",8167349,0.000513089665676982
"84",106592,"|","Ensifer adhaerens","|","","|","scientific name","|",8144210,0.000511636026096489
"85",644,"|","Aeromonas hydrophila","|","","|","scientific name","|",8141447,0.000511462448752572
"86",384,"|","Rhizobium leguminosarum","|","","|","scientific name","|",8048098,0.000505598072539276
"87",1350,"|","Enterococcus","|","","|","scientific name","|",8002664,0.000502743815194529
"88",2053,"|","Gordonia","|","Gordonia <high G+C Gram-positive bacteria>","|","scientific name","|",7968442,0.000500593918754595
"89",67352,"|","Kitasatospora purpeofusca","|","","|","scientific name","|",7839337,0.000492483277065691
"90",34072,"|","Variovorax","|","","|","scientific name","|",7788298,0.000489276902090593
"91",1236,"|","Gammaproteobacteria","|","","|","scientific name","|",7753627,0.000487098798546997
"92",470,"|","Acinetobacter baumannii","|","","|","scientific name","|",7725541,0.000485334378249762
"93",672,"|","Vibrio vulnificus","|","","|","scientific name","|",7724388,0.000485261944417863
"94",400634,"|","Lysinibacillus","|","","|","scientific name","|",7597273,0.000477276318622696
"95",2617518,"|","unclassified Micromonospora","|","","|","scientific name","|",7531743,0.000473159589217376
"96",1396,"|","Bacillus cereus","|","","|","scientific name","|",7507003,0.000471605371523379
"97",238834,"|","Clostridium estertheticum","|","","|","scientific name","|",7503646,0.000471394477877512
"98",373,"|","Agrobacterium vitis","|","","|","scientific name","|",7426225,0.00046653073139057
"99",1437360,"|","Bradyrhizobium erythrophlei","|","","|","scientific name","|",7360137,0.000462378947277358
"100",1866885,"|","Mycolicibacterium","|","","|","scientific name","|",7275317,0.000457050380389532
"101",204037,"|","Dickeya","|","","|","scientific name","|",7247264,0.000455288033220183
"102",1406,"|","Paenibacillus polymyxa","|","","|","scientific name","|",7067400,0.000443988606732185
"103",1405,"|","Bacillus mycoides","|","","|","scientific name","|",7060122,0.000443531387800216
"104",158836,"|","Enterobacter hormaechei","|","","|","scientific name","|",7012980,0.000440569830381848
"105",171437,"|","Tistrella mobilis","|","","|","scientific name","|",6969632,0.000437846619848325
"106",2062,"|","Streptomycetaceae","|","","|","scientific name","|",6883905,0.000432461073354659
"107",87883,"|","Burkholderia multivorans","|","","|","scientific name","|",6878516,0.000432122525288655
"108",2795000,"|","Maridesulfovibrio sp.","|","","|","scientific name","|",6878407,0.000432115677684425
"109",629,"|","Yersinia","|","Yersinia <enterobacteria>","|","scientific name","|",6793618,0.00042678905828037
"110",357,"|","Agrobacterium","|","","|","scientific name","|",6772882,0.000425486380103219
"111",82633,"|","Cupriavidus pauculus","|","","|","scientific name","|",6747126,0.000423868335199154
"112",56,"|","Sorangium cellulosum","|","","|","scientific name","|",6726989,0.000422603287434238
"113",2609666,"|","unclassified Halomonas","|","","|","scientific name","|",6709291,0.000421491462666721
"114",1491,"|","Clostridium botulinum","|","","|","scientific name","|",6501848,0.000408459466664465
"115",1307,"|","Streptococcus suis","|","","|","scientific name","|",6467328,0.000406290849251499
"116",546,"|","Citrobacter freundii","|","","|","scientific name","|",6446822,0.000405002620147494
"117",1923,"|","Streptomyces phaeochromogenes","|","","|","scientific name","|",6403720,0.00040229486384003
"118",28453,"|","Sphingobacterium","|","","|","scientific name","|",6376880,0.000400608719826009
"119",1763,"|","Mycobacterium","|","","|","scientific name","|",6348043,0.000398797120163851
"120",1573823,"|","uncultured Draconibacterium sp.","|","","|","scientific name","|",6278977,0.000394458251964433
"121",317,"|","Pseudomonas syringae","|","","|","scientific name","|",6263257,0.000393470689225967
"122",158822,"|","Cedecea neteri","|","","|","scientific name","|",6260497,0.000393297300348222
"123",450367,"|","Peribacillus frigoritolerans","|","","|","scientific name","|",6210440,0.00039015261663325
"124",196816,"|","unclassified Acinetobacter","|","","|","scientific name","|",6209823,0.000390113855423985
"125",165695,"|","Sphingobium","|","","|","scientific name","|",6205365,0.000389833794693192
"126",2632669,"|","unclassified Streptosporangium","|","","|","scientific name","|",6201156,0.000389569376654629
"127",48,"|","Archangium gephyra","|","","|","scientific name","|",6136724,0.000385521625868064
"128",28105,"|","Sinorhizobium","|","","|","scientific name","|",6130460,0.00038512810850205
"129",2,"|","Bacteria","|","Bacteria <bacteria>","|","scientific name","|",6129845,0.0003850894729369
"130",191,"|","Azospirillum","|","","|","scientific name","|",6124037,0.000384724602428948
"131",186817,"|","Bacillaceae","|","","|","scientific name","|",6010466,0.000377589838575879
"132",1813,"|","Amycolatopsis","|","","|","scientific name","|",5991391,0.000376391507835661
"133",48296,"|","Acinetobacter pittii","|","","|","scientific name","|",5990593,0.000376341375834052
"134",28901,"|","Salmonella enterica","|","","|","scientific name","|",5923120,0.000372102583171681
"135",60550,"|","Burkholderia pyrrocinia","|","","|","scientific name","|",5910476,0.000371308261081022
"136",663243,"|","unclassified Variovorax","|","","|","scientific name","|",5898883,0.000370579964972432
"137",28095,"|","Burkholderia gladioli","|","","|","scientific name","|",5870553,0.000368800216093252
"138",1280,"|","Staphylococcus aureus","|","","|","scientific name","|",5793173,0.000363939045310653
"139",1502,"|","Clostridium perfringens","|","","|","scientific name","|",5788189,0.000363625940177796
"140",1824,"|","Nocardia asteroides","|","","|","scientific name","|",5775550,0.000362831932197423
"141",227290,"|","Rhizobium/Agrobacterium group","|","","|","scientific name","|",5771457,0.000362574801517491
"142",85698,"|","Achromobacter xylosoxidans","|","","|","scientific name","|",5756975,0.000361665012485782
"143",1268,"|","Micrococcaceae","|","","|","scientific name","|",5742302,0.000360743224441158
"144",196869,"|","unclassified Flavobacterium","|","","|","scientific name","|",5717350,0.000359175688471044
"145",146819,"|","Streptomyces europaeiscabiei","|","","|","scientific name","|",5692992,0.00035764546880288
"146",28108,"|","Alteromonas macleodii","|","","|","scientific name","|",5681564,0.000356927538333721
"147",68895,"|","Cupriavidus basilensis","|","","|","scientific name","|",5670056,0.000356204582099989
"148",37326,"|","Nocardia brasiliensis","|","","|","scientific name","|",5659535,0.000355543631236669
"149",2800373,"|","Priestia","|","","|","scientific name","|",5655956,0.000355318791094114
"150",548,"|","Klebsiella aerogenes","|","","|","scientific name","|",5613836,0.000352672726046775
"151",193462,"|","Streptomyces niveus","|","","|","scientific name","|",5593052,0.000351367032410881
"152",79883,"|","Sutcliffiella horikoshii","|","","|","scientific name","|",5592340,0.000351322303106187
"153",818,"|","Bacteroides thetaiotaomicron","|","","|","scientific name","|",5527835,0.00034726996630945
"154",511,"|","Alcaligenes faecalis","|","","|","scientific name","|",5517276,0.000346606628207958
"155",253,"|","Chryseobacterium indologenes","|","","|","scientific name","|",5496044,0.000345272790290458
"156",927083,"|","Sandaracinus amylolyticus","|","","|","scientific name","|",5471805,0.000343750046447095
"157",1590,"|","Lactiplantibacillus plantarum","|","","|","scientific name","|",5466105,0.000343391960721316
"158",645,"|","Aeromonas salmonicida","|","","|","scientific name","|",5415362,0.000340204181075136
"159",1961,"|","Streptomyces virginiae","|","","|","scientific name","|",5414291,0.000340136898651924
"160",165179,"|","Segatella copri","|","","|","scientific name","|",5413405,0.000340081238309285
"161",135487,"|","Nocardia cyriacigeorgica","|","","|","scientific name","|",5407198,0.000339691301800529
"162",550,"|","Enterobacter cloacae","|","","|","scientific name","|",5405111,0.000339560192167248
"163",488447,"|","Burkholderia contaminans","|","","|","scientific name","|",5388556,0.000338520173011058
"164",28132,"|","Prevotella melaninogenica","|","","|","scientific name","|",5386080,0.000338364625597544
"165",848,"|","Fusobacterium","|","","|","scientific name","|",5381063,0.000338049447336801
"166",235986,"|","Actinacidiphila glaucinigra","|","","|","scientific name","|",5356175,0.000336485931978345
"167",1653831,"|","Blattabacterium cuenoti","|","","|","scientific name","|",5349077,0.000336040021016664
"168",221822,"|","Phaeobacter inhibens","|","","|","scientific name","|",5345638,0.000335823975962111
"169",36809,"|","Mycobacteroides abscessus","|","","|","scientific name","|",5297016,0.000332769441899155
"170",1969,"|","Streptomyces chartreusis","|","","|","scientific name","|",5280154,0.00033171013637142
"171",407,"|","Methylobacterium","|","","|","scientific name","|",5264289,0.000330713464434667
"172",1428,"|","Bacillus thuringiensis","|","","|","scientific name","|",5246447,0.00032959259329092
"173",1463165,"|","Klebsiella quasipneumoniae","|","","|","scientific name","|",5176090,0.000325172621815716
"174",95486,"|","Burkholderia cenocepacia","|","","|","scientific name","|",5173096,0.000324984532576596
"175",680,"|","Vibrio campbellii","|","","|","scientific name","|",5135340,0.000322612622986679
"176",33069,"|","Pseudomonas viridiflava","|","","|","scientific name","|",5132116,0.000322410084674414
"177",249567,"|","Streptomyces decoyicus","|","","|","scientific name","|",5101996,0.000320517884312927
"178",76758,"|","Pseudomonas orientalis","|","","|","scientific name","|",5063295,0.000318086607878999
"179",67304,"|","Streptomyces griseorubiginosus","|","","|","scientific name","|",5056620,0.000317667270647494
"180",83455,"|","Myxococcus stipitatus","|","","|","scientific name","|",5052928,0.00031743533161248
"181",2609290,"|","unclassified Microbacterium","|","","|","scientific name","|",5041959,0.000316746236467555
"182",446,"|","Legionella pneumophila","|","","|","scientific name","|",5006928,0.000314545516983383
"183",666,"|","Vibrio cholerae","|","","|","scientific name","|",4951195,0.000311044255272004
"184",37919,"|","Rhodococcus opacus","|","","|","scientific name","|",4948902,0.000310900204294949
"185",257496,"|","unclassified Curtobacterium","|","","|","scientific name","|",4923251,0.000309288755706884
"186",69,"|","Lysobacter enzymogenes","|","","|","scientific name","|",4916066,0.000308837379226231
"187",571,"|","Klebsiella oxytoca","|","","|","scientific name","|",4904188,0.000308091178831352
"188",49283,"|","Paenibacillus thiaminolyticus","|","","|","scientific name","|",4898971,0.000307763436159178
"189",2636778,"|","unclassified Lysinibacillus","|","","|","scientific name","|",4840431,0.000304085832933367
"190",1817,"|","Nocardia","|","","|","scientific name","|",4825464,0.000303145575203938
"191",285,"|","Comamonas testosteroni","|","","|","scientific name","|",4823444,0.000303018674648487
"192",2633591,"|","unclassified Kitasatospora","|","","|","scientific name","|",4822113,0.000302935058490414
"193",2527978,"|","Gimesia panareensis","|","","|","scientific name","|",4820280,0.000302819905659651
"194",61645,"|","Enterobacter asburiae","|","","|","scientific name","|",4805492,0.000301890893078453
"195",435897,"|","Lysobacter capsici","|","","|","scientific name","|",4800384,0.000301569998010509
"196",1399,"|","Cytobacillus firmus","|","","|","scientific name","|",4791700,0.000301024451266181
"197",47885,"|","Pseudomonas oryzihabitans","|","","|","scientific name","|",4790905,0.000300974507730744
"198",134537,"|","Paraburkholderia fungorum","|","","|","scientific name","|",4783859,0.000300531863516034
"199",352475,"|","Shinella zoogloeoides","|","","|","scientific name","|",4783738,0.000300524262047119
"200",170679,"|","Vibrio chagasii","|","","|","scientific name","|",4782363,0.000300437881718532
"201",305,"|","Ralstonia solanacearum","|","","|","scientific name","|",4774368,0.000299935619371583
"202",354276,"|","Enterobacter cloacae complex","|","","|","scientific name","|",4749560,0.0002983771297777
"203",311230,"|","Paraburkholderia terrae","|","","|","scientific name","|",4740959,0.000297836797264116
"204",1678,"|","Bifidobacterium","|","","|","scientific name","|",4739836,0.000297766248093931
"205",28211,"|","Alphaproteobacteria","|","","|","scientific name","|",4736701,0.000297569300944753
"206",283,"|","Comamonas","|","","|","scientific name","|",4725677,0.000296876750586684
"207",380021,"|","Pseudomonas protegens","|","","|","scientific name","|",4695439,0.000294977137222453
"208",43658,"|","Pseudoalteromonas rubra","|","","|","scientific name","|",4692950,0.000294820773122196
"209",1296,"|","Mammaliicoccus sciuri","|","","|","scientific name","|",4690985,0.000294697327779888
"210",83655,"|","Leclercia adecarboxylata","|","","|","scientific name","|",4665784,0.000293114149117542
"211",13690,"|","Sphingobium yanoikuyae","|","","|","scientific name","|",4643694,0.000291726409875004
"212",119060,"|","Burkholderiaceae","|","","|","scientific name","|",4635679,0.000291222891086913
"213",235627,"|","unclassified Arthrobacter","|","","|","scientific name","|",4631814,0.000290980083836011
"214",129337,"|","Geobacillus","|","","|","scientific name","|",4617766,0.000290097559577108
"215",817,"|","Bacteroides fragilis","|","","|","scientific name","|",4602276,0.000289124445911788
"216",89966,"|","Hymenobacter","|","","|","scientific name","|",4596459,0.000288759010005322
"217",507,"|","Alcaligenes","|","","|","scientific name","|",4573880,0.000287340550776835
"218",77097,"|","Vreelandella aquamarina","|","","|","scientific name","|",4561454,0.000286559923894636
"219",455432,"|","Nocardia terpenica","|","","|","scientific name","|",4531523,0.000284679596901951
"220",29580,"|","Janthinobacterium","|","","|","scientific name","|",4530530,0.000284617214599197
"221",1134687,"|","Klebsiella michiganensis","|","","|","scientific name","|",4527241,0.000284410592853216
"222",1355477,"|","Bradyrhizobium diazoefficiens","|","","|","scientific name","|",4522523,0.000284114198387563
"223",1004,"|","Chitinophaga sancti","|","","|","scientific name","|",4522502,0.000284112879124362
"224",2026199,"|","Paraburkholderia aromaticivorans","|","","|","scientific name","|",4509222,0.000283278602205353
"225",1351,"|","Enterococcus faecalis","|","","|","scientific name","|",4507526,0.00028317205599642
"226",28031,"|","Lysinibacillus fusiformis","|","","|","scientific name","|",4494595,0.000282359703975358
"227",587,"|","Providencia rettgeri","|","","|","scientific name","|",4470323,0.000280834887004109
"228",234,"|","Brucella","|","","|","scientific name","|",4459732,0.000280169538596788
"229",356,"|","Hyphomicrobiales","|","","|","scientific name","|",4457875,0.000280052878036652
"230",1639,"|","Listeria monocytogenes","|","","|","scientific name","|",4447119,0.000279377163989901
"231",1598,"|","Limosilactobacillus reuteri","|","","|","scientific name","|",4435388,0.000278640198437424
"232",482,"|","Neisseria","|","","|","scientific name","|",4433810,0.000278541065231235
"233",2636512,"|","unclassified Sodalis (in: enterobacteria)","|","","|","scientific name","|",4429621,0.000278277903633815
"234",41275,"|","Brevundimonas","|","","|","scientific name","|",4429238,0.000278253842785925
"235",59814,"|","Pantoea dispersa","|","","|","scientific name","|",4427039,0.000278115697082243
"236",239935,"|","Akkermansia muciniphila","|","","|","scientific name","|",4425951,0.000278047346684059
"237",729,"|","Haemophilus parainfluenzae","|","","|","scientific name","|",4416800,0.00027747246203904
"238",2675229,"|","Peribacillus","|","","|","scientific name","|",4409101,0.000276988795021009
"239",853,"|","Faecalibacterium prausnitzii","|","","|","scientific name","|",4398370,0.000276314651525687
"240",382,"|","Sinorhizobium meliloti","|","","|","scientific name","|",4386295,0.000275556075185549
"241",584,"|","Proteus mirabilis","|","","|","scientific name","|",4381597,0.000275260937161038
"242",1310165,"|","Ralstonia pseudosolanacearum","|","","|","scientific name","|",4371747,0.000274642139898068
"243",199,"|","Campylobacter concisus","|","","|","scientific name","|",4360891,0.000273960143645601
"244",2605989,"|","Gimesia chilikensis","|","","|","scientific name","|",4355872,0.000273644839740744
"245",1971,"|","Streptomyces noursei","|","","|","scientific name","|",4351800,0.000273389028324012
"246",32033,"|","Lysobacteraceae","|","","|","scientific name","|",4344167,0.000272909507561753
"247",569,"|","Hafnia alvei","|","","|","scientific name","|",4342544,0.000272807547362992
"248",152480,"|","Burkholderia ambifaria","|","","|","scientific name","|",4314269,0.000271031253696954
"249",48408,"|","Photobacterium leiognathi subsp. mandapamensis","|","","|","scientific name","|",4311126,0.000270833803971318
"250",38313,"|","Shewanella algae","|","","|","scientific name","|",4311061,0.000270829720537603
"251",1496,"|","Clostridioides difficile","|","","|","scientific name","|",4295820,0.000269872249564515
"252",1597,"|","Lacticaseibacillus paracasei","|","","|","scientific name","|",4290972,0.000269567688231431
"253",40214,"|","Acinetobacter johnsonii","|","","|","scientific name","|",4286253,0.00026927123094372
"254",1478,"|","Peribacillus simplex","|","","|","scientific name","|",4271490,0.000268343788913951
"255",2013,"|","Nocardiopsis","|","","|","scientific name","|",4267540,0.000268095641788192
"256",1408,"|","Bacillus pumilus","|","","|","scientific name","|",4263303,0.000267829464732029
"257",590,"|","Salmonella","|","","|","scientific name","|",4261109,0.000267691633138633
"258",217203,"|","Achromobacter spanius","|","","|","scientific name","|",4250367,0.000267016798600681
"259",1836,"|","Saccharopolyspora erythraea","|","","|","scientific name","|",4248311,0.000266887636451172
"260",1196083,"|","Snodgrassella alvi","|","","|","scientific name","|",4232938,0.000265921872966539
"261",47760,"|","Streptomyces aurantiacus","|","","|","scientific name","|",4215084,0.000264800247958107
"262",583,"|","Proteus","|","Proteus <enterobacteria>","|","scientific name","|",4214127,0.00026474012724941
"263",196024,"|","Aeromonas dhakensis","|","","|","scientific name","|",4210533,0.000264514344775998
"264",1993,"|","Actinomadura madurae","|","","|","scientific name","|",4209900,0.000264474578413819
"265",101571,"|","Burkholderia ubonensis","|","","|","scientific name","|",4194881,0.000263531053937419
"266",83656,"|","Streptomyces tsukubensis","|","","|","scientific name","|",4194008,0.000263476210281523
"267",32,"|","Myxococcus","|","","|","scientific name","|",4193727,0.000263458557283463
"268",1520,"|","Clostridium beijerinckii","|","","|","scientific name","|",4189976,0.000263222911747077
"269",80865,"|","Delftia","|","","|","scientific name","|",4183589,0.000262821667268033
"270",2675233,"|","Metabacillus","|","","|","scientific name","|",4162250,0.000261481107390417
"271",58346,"|","Streptomyces platensis","|","","|","scientific name","|",4155402,0.000261050901943025
"272",34,"|","Myxococcus xanthus","|","","|","scientific name","|",4150234,0.000260726237551651
"273",858423,"|","Bradyrhizobium arachidis","|","","|","scientific name","|",4149124,0.00026065650506821
"274",38293,"|","Photobacterium damselae","|","","|","scientific name","|",4138799,0.000260007867328092
"275",28450,"|","Burkholderia pseudomallei","|","","|","scientific name","|",4135949,0.000259828824465203
"276",33038,"|","Mediterraneibacter gnavus","|","","|","scientific name","|",4128060,0.000259333221256312
"277",42684,"|","Streptomyces collinus","|","","|","scientific name","|",4124186,0.000259089848606897
"278",106590,"|","Cupriavidus necator","|","","|","scientific name","|",4116670,0.000258617678025325
"279",319939,"|","Metapseudomonas otitidis","|","","|","scientific name","|",4116161,0.000258585701598234
"280",2741070,"|","Pendulispora rubella","|","","|","scientific name","|",4109308,0.000258155182040555
"281",88688,"|","Caulobacter segnis","|","","|","scientific name","|",4103835,0.00025781135692175
"282",104087,"|","Pseudomonas frederiksbergensis","|","","|","scientific name","|",4101577,0.000257669504716695
"283",1176257,"|","Stutzerimonas zhaodongensis","|","","|","scientific name","|",4081231,0.000256391327141834
"284",2821832,"|","Stappiaceae","|","","|","scientific name","|",4063997,0.000255308651808837
"285",2905690,"|","Pendulispora brunnea","|","","|","scientific name","|",4053360,0.000254640413586887
"286",2034,"|","Curtobacterium","|","","|","scientific name","|",4044458,0.0002540811716341
"287",258,"|","Sphingobacterium spiritivorum","|","","|","scientific name","|",4043299,0.000254008360869858
"288",630,"|","Yersinia enterocolitica","|","","|","scientific name","|",4037616,0.00025365134311905
"289",676,"|","Vibrio fluvialis","|","","|","scientific name","|",4027866,0.000253038828061796
"290",192944,"|","unclassified Rhodococcus (in: high G+C Gram-positive bacteria)","|","","|","scientific name","|",4026246,0.000252937056329206
"291",83654,"|","Leclercia","|","","|","scientific name","|",4019553,0.000252516588300672
"292",648,"|","Aeromonas caviae","|","","|","scientific name","|",4002501,0.000251445346582078
"293",68,"|","Lysobacter","|","","|","scientific name","|",4002147,0.000251423107573845
"294",189381,"|","Rossellomorea marisflavi","|","","|","scientific name","|",3978577,0.000249942391686719
"295",863372,"|","Herbaspirillum huttiense","|","","|","scientific name","|",3973450,0.000249620302999689
"296",80867,"|","Paracidovorax avenae","|","","|","scientific name","|",3968865,0.000249332263867636
"297",39643,"|","Sorangium","|","","|","scientific name","|",3961926,0.000248896341613043
"298",160674,"|","Raoultella","|","","|","scientific name","|",3946231,0.000247910349426006
"299",2527964,"|","Gimesia aquarii","|","","|","scientific name","|",3945878,0.000247888173239831
"300",79263,"|","Paenibacillus chitinolyticus","|","","|","scientific name","|",3941584,0.00024761841532641
"301",2975960,"|","Embleya sp. NBC_00888","|","","|","scientific name","|",3933352,0.000247101264151916
"302",1218,"|","Prochlorococcus","|","","|","scientific name","|",3930258,0.000246906892707081
"303",651,"|","Aeromonas media","|","","|","scientific name","|",3928265,0.000246781688347172
"304",2995304,"|","Nannocystis punicea","|","","|","scientific name","|",3927177,0.000246713337948988
"305",375,"|","Bradyrhizobium japonicum","|","","|","scientific name","|",3916921,0.000246069034930814
"306",1571,"|","Sporosarcina ureae","|","","|","scientific name","|",3913401,0.000245847901289631
"307",636,"|","Edwardsiella tarda","|","","|","scientific name","|",3891348,0.000244462486463208
"308",2813578,"|","Pyxidicoccus parkwaysis","|","","|","scientific name","|",3884912,0.000244058163703363
"309",60136,"|","Sulfitobacter","|","","|","scientific name","|",3877776,0.00024360986550351
